<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAA.US,D,20201222,000000,24.98,24.98,24.98,24.98,1337,0
AAA.US,D,20201223,000000,24.98,24.99,24.98,24.99,1785,0
AAA.US,D,20201224,000000,24.99,24.99,24.99,24.99,1173,0
AAA.US,D,20201228,000000,24.98,24.99,24.98,24.99,661,0
AAA.US,D,20201229,000000,24.968,24.968,24.965,24.965,862,0
AAA.US,D,20201230,000000,24.96,24.974,24.96,24.97,2402,0
AAA.US,D,20201231,000000,24.97,24.97,24.97,24.97,66,0
AAA.US,D,20210104,000000,24.965,24.97,24.965,24.965,3737,0
AAA.US,D,20210105,000000,24.98,24.981,24.97,24.98,2286,0
AAA.US,D,20210106,000000,24.98,24.99,24.975,24.975,620,0
AAA.US,D,20210107,000000,24.975,24.975,24.975,24.975,397,0
AAA.US,D,20210108,000000,24.98,24.98,24.97,24.97,5293,0
AAA.US,D,20210111,000000,24.97,25,24.97,24.985,1989,0
AAA.US,D,20210112,000000,25.01,25.01,25,25,817,0
AAA.US,D,20210113,000000,24.99,24.99,24.99,24.99,58,0
AAA.US,D,20210114,000000,25.005,25.005,25.005,25.005,174,0
AAA.US,D,20210115,000000,25.04,25.04,25.025,25.025,2395,0
AAA.US,D,20210119,000000,25.06,25.06,25.049,25.05,2852,0
AAA.US,D,20210120,000000,25.05,25.05,25.05,25.05,31,0
AAA.US,D,20210121,000000,25.054,25.054,25.04,25.05,3652,0
AAA.US,D,20210122,000000,25.06,25.07,25.06,25.06,1614,0
AAA.US,D,20210125,000000,25.055,25.055,25.055,25.055,46,0
AAA.US,D,20210126,000000,25.058,25.065,25.058,25.065,467,0
AAA.US,D,20210127,000000,25.04,25.05,25.04,25.05,490,0
AAA.US,D,20210128,000000,25.05,25.05,25.05,25.05,188,0
AAA.US,D,20210129,000000,25.06,25.06,25.045,25.045,3109,0
AAA.US,D,20210201,000000,25.04,25.04,25.03,25.03,1263,0
AAA.US,D,20210202,000000,25.03,25.03,25.03,25.03,9,0
AAA.US,D,20210203,000000,25.1,25.3,25.02,25.02,1170,0
AAA.US,D,20210204,000000,24.74,25.05,24.74,25.03,10210,0
AAA.US,D,20210205,000000,25.039,25.04,25.039,25.04,1784,0
AAA.US,D,20210208,000000,25.046,25.05,25.04,25.04,2612,0
AAA.US,D,20210209,000000,25.03,25.03,25.03,25.03,1036,0
AAA.US,D,20210210,000000,25.022,25.035,25.022,25.035,706,0
AAA.US,D,20210211,000000,25.04,25.04,25.03,25.03,1312,0
AAA.US,D,20210212,000000,25.03,25.03,25.02,25.02,498,0
AAA.US,D,20210216,000000,25.03,25.03,25.02,25.02,336,0
AAA.US,D,20210217,000000,25.03,25.04,25.03,25.03,371,0
AAA.US,D,20210218,000000,25.033,25.04,25.03,25.03,241,0
AAA.US,D,20210219,000000,25.03,25.03,25.03,25.03,8,0
AAA.US,D,20210222,000000,24.99,24.99,24.99,24.99,608,0
AAA.US,D,20210223,000000,24.96,24.98,24.96,24.97,509,0
AAA.US,D,20210224,000000,24.98,24.98,24.969,24.97,1614,0
AAA.US,D,20210225,000000,24.97,24.98,24.97,24.975,433,0
AAA.US,D,20210226,000000,24.97,24.973,24.96,24.97,1033,0
AAA.US,D,20210301,000000,24.97,24.973,24.961,24.97,785,0
AAA.US,D,20210302,000000,24.975,24.975,24.975,24.975,238,0
AAA.US,D,20210303,000000,24.994,24.994,24.99,24.99,297,0
AAA.US,D,20210304,000000,25.01,25.01,25,25.005,590,0
AAA.US,D,20210305,000000,25.02,25.02,25,25.01,3747,0
AAA.US,D,20210308,000000,25.02,25.02,24.985,24.985,13026,0
AAA.US,D,20210309,000000,24.98,24.99,24.97,24.99,12541,0
AAA.US,D,20210310,000000,25.01,25.01,24.995,24.995,1952,0
AAA.US,D,20210311,000000,25.01,25.01,25,25,557,0
AAA.US,D,20210312,000000,24.996,25,24.996,25,656,0
AAA.US,D,20210315,000000,25.01,25.01,25.01,25.01,103,0
AAA.US,D,20210316,000000,25,25,25,25,89,0
AAA.US,D,20210317,000000,25.01,25.01,25.01,25.01,213,0
AAA.US,D,20210318,000000,25,25.01,25,25.01,242,0
AAA.US,D,20210319,000000,25.01,25.01,25.01,25.01,593,0
AAA.US,D,20210322,000000,25,25,25,25,189,0
AAA.US,D,20210323,000000,24.99,25.01,24.98,24.98,15060,0
